 ~!^OX >
 ~O2 ^ >
 ~O2!^ >
 ~ >OX ~
 ~OAOX ~
 >!^OX ~
 >O2 ^ ~
 >O2!^ ~
 >!^ >OX
 ~ > ~OX
 ~OA ~OX
 ~!^ ~OX
 ~ ^OXOX
 ~ ~ ^OX
 ~ ^ ^OX
 > ~!^OX
 > ^!^OX
 >!^ >O2
 > ^ ~O2
 > ~OXO2
 ~ ~OXO2
 > ~ ^O2
 ~ ~ ^O2
 ~O2 ^O2
 ~ ^ ^O2
 > >!^O2
 ~ >!^O2
 >OA!^O2
 ~OA!^O2
 >O2!^O2
 ~!^!^O2
 ~OA > ^
 ~O2 > ^
 >OA ~ ^
 ~OA ~ ^
 ~ ~OX ^
 >O2!^ ^
 >OA >!^
 ~OA >!^
 >O2 >!^
 >OA ~!^
 ~OA ~!^
 > ~OX!^
 ~ ^OX!^
 ~O2!^!^
